"wLr","Best wLi","averBi"
0.12,0.114180973956434,18.8311874263986
0.121,0.120999998148979,18.8311883191315
0.122,0.121999997831693,18.8312040813738
0.123,0.122999997514407,18.831389563673
0.124,0.12399999719712,18.832717902803
0.125,0.124999996920453,18.8390873010464
0.126,0.12599999671515,18.8611288560155
0.127,0.126999996509847,18.9195230446766
0.128,0.127999996324344,19.0437186565627
0.129,0.128999998021491,19.2637370809847
0.13,0.129999997831089,19.5977806419815
0.131,0.130999997640687,20.0403656124573
0.132,0.131999997601315,20.6039560407795
0.133,0.132811025495347,21.7104422921946
0.134,0.133075675315741,32.5698074793921
0.135,0.133558181351615,52.4983556023423
0.136,0.134174277387559,76.966457836125
0.137,0.134876384443855,103.120390794096
0.138,0.135632233675617,129.247313936194
0.139,0.13641793051814,154.372755105389
0.14,0.137216066309622,177.974800955868
0.141,0.138014691798521,199.796969777941
0.142,0.138805992825724,219.752060238754
0.143,0.139585002949942,237.843400350161
0.144,0.140348629856825,254.144623112667
0.145,0.141094945938484,268.765742678233
0.146,0.141822766783433,281.837069010909
0.147,0.14253138008192,293.496971992155
0.148,0.143220385121059,303.883800617545
0.149,0.143889604489215,313.130060145723
0.15,0.144539005871923,321.359493623787
0.151,0.145168679902151,328.685883226413
0.152,0.145778805644231,335.210636588802
0.153,0.146369631802549,341.024594016923
0.154,0.146941475407712,346.207044276792
0.155,0.147494698164314,350.826984656782
0.156,0.148029694617216,354.942650366039
0.157,0.148546912537733,358.601303576255
0.158,0.149046816992192,361.837646660905
0.159,0.14952990664135,364.666769363241
0.16,0.14999670152935,367.055975553339
